name,wins
Bulbasaur,0
Ivysaur,0
Venusaur,0
Mega Venusaur,0
Charmander,0
Charmeleon,0
Charizard,0
Mega Charizard X,0
Mega Charizard Y,0
Squirtle,0
Wartortle,0
Blastoise,0
Mega Blastoise,0
Caterpie,0
Metapod,0
Butterfree,0
Weedle,0
Kakuna,0
Beedrill,0
Mega Beedrill,0
Pidgey,0
Pidgeotto,0
Pidgeot,0
Mega Pidgeot,0
Rattata,0
Alolan Rattata,0
Raticate,0
Alolan Raticate,0
Spearow,0
Fearow,0
Ekans,0
Arbok,0
Pikachu,0
Partner Pikachu,0
Raichu,0
Alolan Raichu,0
Sandshrew,0
Alolan Sandshrew,0
Sandslash,0
Alolan Sandslash,0
Sigilyph,2
Tangrowth,1
Toxicroak,1
Vanilluxe,1
Landorus Therian Forme,1
